"Submission ID","Last updated","Submission started","Status","Current step","I have read all of the above and agree to taking part in this survey","I understand why the model rejected/approved the loan.","The chart was easy to interpret. I could clearly identify what each part of the chart represents.","The chart was useful in helping me make an informed decision about the loan.","This explanation increases my trust in using an AI system for loan decisions.","Based on the graph is this loan approved or rejected ?","I understand why the model rejected/accepted the loan.","The chart was easy to interpret. I could clearly identify what each part of the chart represents. (1)","The chart was useful in helping me make an informed decision about the loan. (1)","This explanation increases my trust in using an AI system for loan decisions. (1)","Based on the graph is this loan approved or rejected ? (1)","I understand why the model rejected/accepted the loan. (1)","The chart was easy to interpret. I could clearly identify what each part of the chart represents. (2)","The chart was useful in helping me make an informed decision about the loan. (2)","This explanation increases my trust in using an AI system for loan decisions. (2)","Based on the graph is this loan approved or rejected ? (2)","Thinking about these explanation charts, what specific change or improvement would most help you better understand and trust the model's decision, and why?","Which graph do you think was the best overall in terms of understandability, usefulness, clarity, and trustworthiness?","Which statement best describes your experience with Machine Learning ?","Have you ever worked in the banking or finance industry ?","Errors","Url","Network ID"
"e970273d-8de2-44d9-8684-7876e596df3c","Fri May 02 2025 10:06:00 GMT+0100 (British Summer Time)","Thu Apr 17 2025 14:02:00 GMT+0100 (British Summer Time)","finished","Ending","true","","","","","","","","","","","","","","","","","","","","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=e970273d-8de2-44d9-8684-7876e596df3c","e6ff8dafaf4a11893f316815e6e73441"
"81a4b80b-57bd-4fe7-af18-06c44dac11ef","Sat Apr 19 2025 18:43:00 GMT+0100 (British Summer Time)","Sat Apr 19 2025 18:33:00 GMT+0100 (British Summer Time)","finished","Ending","true","3","4","3","3","Rejected ❌
 ","4","4","4","4","Approved ✅
  ","2","3","2","2","Rejected ❌  ","Having such individual input gives a score for each. Hiwever, adding a weighted score for each that aggregates into a final single score would be really helpful. Wherein if the overall score is below specific rate it would be automatically rejected and if above it quality for next assememt level or final approval. ","Decision Plot","I have intermediate knowledge or experience","No ❌
 ","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=81a4b80b-57bd-4fe7-af18-06c44dac11ef","3ff7fc175cdb8bc1a2b89ed856fc11b0"
"7f28fc03-fd48-4010-a83d-4c872c198ff2","Sat Apr 19 2025 18:02:00 GMT+0100 (British Summer Time)","Sat Apr 19 2025 17:54:00 GMT+0100 (British Summer Time)","finished","Ending","true","4","2","3","2","Rejected ❌
 ","1","3","3","1","Approved ✅
  ","3","3","1","1","Rejected ❌  ","Easier to read.  But it needs modification and better explanation","Waterfall Plot","I have some basic knowledge","No ❌
 ","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=7f28fc03-fd48-4010-a83d-4c872c198ff2","3e596378c47e9b8d80980740e8b33119"
"2118bef1-4f85-4fc9-9df7-d7a221120619","Sat Apr 19 2025 14:27:00 GMT+0100 (British Summer Time)","Sat Apr 19 2025 14:14:00 GMT+0100 (British Summer Time)","finished","Ending","true","4","4","3","3","Approved ✅
  ","4","3","3","4","Rejected ❌
 ","4","4","4","4","Rejected ❌  ","","LIME Bar Chart","I have intermediate knowledge or experience","Yes  ✅","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=2118bef1-4f85-4fc9-9df7-d7a221120619","68b25ff15339b3852fbf42855c9df8af"
"54f4a08a-b675-4c29-a83e-3ecf3de6755c","Sat Apr 19 2025 10:06:00 GMT+0100 (British Summer Time)","Thu Apr 17 2025 18:32:00 GMT+0100 (British Summer Time)","finished","Ending","true","3","3","3","2","Approved ✅
  ","3","3","3","2","Rejected ❌
 ","2","2","2","2","Rejected ❌  ","","Waterfall Plot","I have some basic knowledge","Yes  ✅","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=54f4a08a-b675-4c29-a83e-3ecf3de6755c","92fa6f3db1f2400584f0a8817efb083d"
"254c1ae0-660f-4fe8-a581-81bd872035b8","Fri Apr 18 2025 10:27:00 GMT+0100 (British Summer Time)","Fri Apr 18 2025 10:18:00 GMT+0100 (British Summer Time)","finished","Ending","true","3","3","3","3","Approved ✅
  ","3","4","3","3","Approved ✅
  ","3","3","3","3","Rejected ❌  ","","Decision Plot","I have some basic knowledge","Yes  ✅","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=254c1ae0-660f-4fe8-a581-81bd872035b8","c93030aaedd1025e18420a1ff95da0b0"
"8d546d99-cb11-4226-add6-44fe8ca1e105","Fri Apr 18 2025 10:05:00 GMT+0100 (British Summer Time)","Fri Apr 18 2025 10:04:00 GMT+0100 (British Summer Time)","finished","Ending","true","3","3","3","3","Approved ✅
  ","3","3","3","3","Approved ✅
  ","3","3","3","3","Rejected ❌  ","","","I have some basic knowledge","No ❌
 ","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=8d546d99-cb11-4226-add6-44fe8ca1e105","d8ce7c30ac00a9e7754099665e49857c"
"d6a49b31-6022-4f15-8150-28dd6f7576d2","Fri Apr 18 2025 09:28:00 GMT+0100 (British Summer Time)","Fri Apr 18 2025 09:18:00 GMT+0100 (British Summer Time)","finished","Ending","true","3","3","3","2","Approved ✅
  ","4","4","4","3","Approved ✅
  ","4","4","3","3","Rejected ❌  ","","Decision Plot","I have advanced knowledge or experience","No ❌
 ","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=d6a49b31-6022-4f15-8150-28dd6f7576d2","306ae167d21e515d78e7db508f6ac148"
"fc1d454a-c4b0-49da-89b6-e83bd3b18276","Fri Apr 18 2025 07:47:00 GMT+0100 (British Summer Time)","Fri Apr 18 2025 07:38:00 GMT+0100 (British Summer Time)","finished","Ending","true","1","1","1","1","Rejected ❌
 ","1","1","1","1","Rejected ❌
 ","1","1","1","1","Rejected ❌  ","","Decision Plot","I have some basic knowledge","Yes  ✅","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=fc1d454a-c4b0-49da-89b6-e83bd3b18276","6f0d7c25b4a638eb8770190a5e60db27"
"d81546e4-e9bf-40bb-a630-06392f1182d3","Fri Apr 18 2025 05:33:00 GMT+0100 (British Summer Time)","Fri Apr 18 2025 05:23:00 GMT+0100 (British Summer Time)","finished","Ending","true","4","2","3","3","Approved ✅
  ","4","3","2","2","Rejected ❌
 ","4","4","4","4","Rejected ❌  ","Having the model assess the future cashflow potential of the person to determine tbeir ability to pay. If the model is able to accessthe historical bank statements of the applicant, plus determining the age of the applicant, these will be good inputs for the model to assess previous historical cashflow and potential future cashflow bases on age and approximate retirement age.","LIME Bar Chart","I have some basic knowledge","No ❌
 ","None","https://build.fillout.com/editor/gZiUUaRjTmus/results?sessionId=d81546e4-e9bf-40bb-a630-06392f1182d3","10f2bf5fd535ade881ef9c60ea79a17f"
